City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,sarmiento,-45.5882,-69.07,16.17,57,100,4.47,AR,1708049695
348,tsiombe,-25.3,45.4833,23.04,88,57,1.84,MG,1708049696
349,gaiman,-43.2897,-65.4929,17.21,80,3,7.77,AR,1708049696
350,lospalos,-8.5186,127.0025,28.82,67,17,4.59,TL,1708049697
351,santa maria,-29.6842,-53.8069,20.96,79,100,3.0,BR,1708049592
352,diu,20.7141,70.9822,21.58,48,0,5.02,IN,1708049698
353,north platte,41.1239,-100.7654,-2.06,74,100,4.63,US,1708049699
354,port pirie,-33.1833,138.0167,29.44,19,43,1.52,AU,1708049256
355,sechura,-5.5569,-80.8222,28.0,69,100,5.98,PE,1708049701
356,tchintabaraden,15.8969,5.7985,17.72,17,0,5.15,NE,1708049701
357,cottage grove,44.8277,-92.9438,-3.81,78,0,4.12,US,1708049702
358,kanigiri,15.4,79.5167,20.82,85,0,0.54,IN,1708049703
359,imbituba,-28.24,-48.6703,22.45,76,100,2.73,BR,1708049704
360,kostyantynivka,48.5277,37.7069,-3.2,58,100,6.01,UA,1708049705
361,veraval,20.9,70.3667,22.5,46,2,6.3,IN,1708049706
362,selfoss,63.9331,-20.9971,0.47,91,100,2.39,IS,1708049707
363,the pas,53.8251,-101.2541,-21.99,71,0,2.06,CA,1708049707
364,villamontes,-21.25,-63.5,25.79,69,100,1.02,BO,1708049708
365,hadibu,12.65,54.0333,24.21,79,92,4.81,YE,1708049709
366,zhezqazghan,47.7833,67.7667,-30.68,69,0,5.0,KZ,1708049711
367,tshabong,-26.05,22.45,18.33,34,12,5.81,BW,1708049333
368,mugia,43.1041,-9.2179,12.17,84,100,1.99,ES,1708049712
369,ust'-ilimsk,58.0006,102.6619,-22.65,95,100,3.13,RU,1708049713
370,merizo village,13.2658,144.6691,28.85,84,7,8.1,GU,1708049714
371,mumford,5.2618,-0.759,27.57,90,100,3.33,GH,1708049715
372,newman,37.3138,-121.0208,16.13,68,89,0.89,US,1708049716
373,tharyarwady,17.65,95.8,26.5,26,59,2.79,MM,1708049717
374,kogalym,62.2654,74.4791,-24.91,95,100,7.25,RU,1708049718
375,mermoz boabab,14.7065,-17.4758,23.31,88,0,5.14,SN,1708049719
376,kargil,34.5667,76.1,-20.65,71,100,1.62,IN,1708049721
377,namdrik,5.5994,168.1028,27.74,76,69,9.06,MH,1708049721
378,colares,38.7992,-9.4469,15.18,89,100,2.68,PT,1708049722
379,floro,61.5996,5.0328,3.04,93,20,5.66,NO,1708049723
380,namibe,-15.1961,12.1522,23.73,86,100,4.65,AO,1708049724
381,port sudan,19.6175,37.2164,23.08,43,3,4.36,SD,1708049725
382,phalaborwa,-23.943,31.1411,24.6,51,3,2.01,ZA,1708049726
383,berezovo,63.9381,65.0419,-33.04,100,8,1.31,RU,1708049478
384,alappuzha,9.49,76.3264,24.43,74,98,2.9,IN,1708049728
385,fisterra,42.9049,-9.2629,12.08,82,100,1.19,ES,1708049729
386,prince rupert,54.3161,-130.3201,9.05,37,0,3.09,CA,1708049137
387,acapulco de juarez,16.8634,-99.8901,27.9,78,40,3.6,MX,1708049608
388,puerto leguizamo,-0.1934,-74.7819,23.68,97,99,0.57,CO,1708049732
389,east london,-33.0153,27.9116,18.85,61,100,5.51,ZA,1708049294
390,colonia,50.9333,6.95,14.3,71,0,3.09,DE,1708049688
391,seaside,36.6111,-121.8516,14.95,80,0,1.54,US,1708049734
392,bad lobenstein,50.4493,11.6381,9.07,64,93,2.9,DE,1708049735
393,baoro,5.6667,15.9667,20.69,21,49,2.5,CF,1708049736
394,naigarhi,24.7833,81.7833,16.5,71,0,0.59,IN,1708049737
395,plastun,44.7561,136.2939,-6.75,37,73,2.13,RU,1708049738
396,mossel bay,-34.1831,22.146,16.73,73,87,11.54,ZA,1708049739
397,arcos,-20.2819,-45.5394,20.32,97,100,1.03,BR,1708049740
398,coronel suarez,-37.4547,-61.9334,18.3,58,0,2.98,AR,1708049742
399,zaragoza,41.6561,-0.8773,14.45,74,75,1.03,ES,1708049485
400,itaituba,-4.2761,-55.9836,23.46,98,62,0.65,BR,1708049744
401,sirte,31.2089,16.5887,13.94,66,1,2.68,LY,1708049745
402,nova sintra,14.8667,-24.7167,20.82,78,64,5.04,CV,1708049218
403,grand falls-windsor,48.9332,-55.6649,-0.83,94,100,2.24,CA,1708049257
404,pierre,44.3683,-100.351,-5.64,91,100,1.34,US,1708049747
405,syracuse,37.0881,15.2792,9.88,77,3,1.74,IT,1708049565
406,novyy urengoy,66.0833,76.6333,-21.68,93,100,7.31,RU,1708049748
407,escanaba,45.7453,-87.0646,-3.83,63,100,5.14,US,1708049749
408,richards bay,-28.783,32.0377,23.42,92,100,4.24,ZA,1708049750
409,qaqortoq,60.7167,-46.0333,-2.95,70,100,4.79,GL,1708049163
410,birjand,32.8663,59.2211,11.24,54,0,3.33,IR,1708049230
411,marquette,46.5333,-87.6335,-6.29,82,100,3.58,US,1708049752
412,kani keli,-12.9536,45.1033,25.59,79,100,4.99,YT,1708049753
413,chibougamau,49.9168,-74.3659,-16.21,66,0,3.09,CA,1708049754
414,mechanicville,42.9029,-73.6873,-0.76,88,100,6.69,US,1708049755
415,saint-martin-des-champs,48.5833,-3.8333,11.57,94,100,5.79,FR,1708049755
416,vilyuysk,63.7553,121.6247,-33.89,97,96,3.13,RU,1708049756
417,zapala,-38.8992,-70.0544,27.64,20,54,0.71,AR,1708049757
